repo	key	code_refs	env_file_refs	current_replit_env	recommended_scope	risk	description	notes
.	ANTHROPIC	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	ANTHROPIC_API_KEY	yes	no	present	SERVER_SECRET	HIGH	AI provider API key	Server only. Separate keys if you want billing split by app.
.	APP_URL	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	CHECK_AND_REMOVE_IF_REAL_SECRET_FILE	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	CHECKOUT_SESSION_ID	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	CLIENT_URL	yes	no	present	PER_DEPLOYMENT_CONFIG	MEDIUM	Public URL / CORS config	Not always secret, but wrong value breaks auth/API calls.
.	CORS	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	CORS_ORIGIN	yes	yes	present	PER_DEPLOYMENT_CONFIG	MEDIUM	Public URL / CORS config	Not always secret, but wrong value breaks auth/API calls.
.	CORS_ORIGINS	yes	no	missing	PER_DEPLOYMENT_CONFIG	MEDIUM	Public URL / CORS config	Not always secret, but wrong value breaks auth/API calls.
.	CSRF_SECRET	yes	no	present	PER_REPO_PER_ENV	HIGH	Auth/session signing secret	Use strong separate values per app/env. If code expects JWT_SECRET but Replit has SFS_JWT_SECRET, app can break.
.	DATABASE_URL	yes	yes	present	PER_REPO_PER_ENV	HIGH	Database connection config	Usually separate per repo and per environment.
.	DEBUG	no	yes	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	ENCRYPTION_KEY	yes	no	missing	PER_REPO_PER_ENV	HIGH	Token/data encryption key	Separate per app/env. Rotating can break old encrypted tokens.
.	ENVKEYS	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	EXTERNAL_API_KEY	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	FACEBOOK	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	FACEBOOK_APP_ID	yes	no	missing	PER_META_APP_OR_PAGE	HIGH	Meta/Facebook token config	Rotate if found in files/logs.
.	FACEBOOK_APP_SECRET	yes	no	missing	PER_META_APP_OR_PAGE	HIGH	Meta/Facebook token config	Rotate if found in files/logs.
.	GOOGLE	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	GOOGLE_CLIENT_ID	yes	no	missing	PER_GOOGLE_APP	HIGH	Google OAuth config	Secret server side. Redirect URI must match deployment.
.	GOOGLE_CLIENT_SECRET	yes	no	missing	PER_GOOGLE_APP	HIGH	Google OAuth config	Secret server side. Redirect URI must match deployment.
.	GOOGLE_REDIRECT_URI	yes	no	missing	PER_GOOGLE_APP	HIGH	Google OAuth config	Secret server side. Redirect URI must match deployment.
.	JWT	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	JWT_SECRET	yes	no	missing	PER_REPO_PER_ENV	HIGH	Auth/session signing secret	Use strong separate values per app/env. If code expects JWT_SECRET but Replit has SFS_JWT_SECRET, app can break.
.	KEY	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	LOG_LEVEL	no	yes	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	MAX_SAFE_INTEGER	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	META	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	META_APP_ID	yes	no	missing	PER_META_APP_OR_PAGE	HIGH	Meta/Facebook token config	Rotate if found in files/logs.
.	META_APP_SECRET	yes	no	missing	PER_META_APP_OR_PAGE	HIGH	Meta/Facebook token config	Rotate if found in files/logs.
.	NEXT_PUBLIC_	yes	no	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY	yes	no	missing	PUBLIC_CONFIG	LOW	Stripe publishable frontend key	Allowed in frontend, but separate test/live.
.	NIX_CFLAGS_COMPILE	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	NIX_LDFLAGS	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	NIX_PATH	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	NIX_PROFILES	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	NODE_ENV	yes	yes	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	OPENAI	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	OPENAI_API_KEY	yes	no	present	SERVER_SECRET	HIGH	AI provider API key	Server only. Separate keys if you want billing split by app.
.	PAGE_ACCESS_TOKEN	yes	no	missing	PER_META_APP_OR_PAGE	HIGH	Meta/Facebook token config	Rotate if found in files/logs.
.	PER_GOOGLE_APP	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	PER_META_APP_OR_PAGE	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	PER_STRIPE_ENV	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	PGDATABASE	yes	no	present	PER_REPO_PER_ENV	HIGH	Database connection config	Usually separate per repo and per environment.
.	PGHOST	yes	no	present	PER_REPO_PER_ENV	HIGH	Database connection config	Usually separate per repo and per environment.
.	PGPASSWORD	yes	no	present	PER_REPO_PER_ENV	HIGH	Database connection config	Usually separate per repo and per environment.
.	PGPORT	yes	no	present	PER_REPO_PER_ENV	HIGH	Database connection config	Usually separate per repo and per environment.
.	PGUSER	yes	no	present	PER_REPO_PER_ENV	HIGH	Database connection config	Usually separate per repo and per environment.
.	PORT	yes	yes	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	POSSIBLE_SECRET_VALUE_IN_FILE	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	PUBLIC_	yes	no	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	PUBLIC_BASE_URL	yes	no	missing	PER_DEPLOYMENT_CONFIG	MEDIUM	Public URL / CORS config	Not always secret, but wrong value breaks auth/API calls.
.	PUBLIC_CONFIG	yes	no	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	PUBLIC_FRONTEND_ENV	yes	no	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	REPL_ID	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	REPL_IDENTITY_KEY	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	REPLIT_ASKPASS_PID2_SESSION	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	REPLIT_NIX_CHANNEL	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	REPLIT_SESSION	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	REPLIT_TOKEN	yes	no	missing	SHARED_CONTROL_SECRET	HIGH	Replit automation token	Control repl only. Do not place in every repo.
.	REPL_PUBKEYS	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SECRET	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SECRET_PATTERNS	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SECRETS_FOUND	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SERVER_SECRET	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SESSION	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SESSION_MAX_AGE	yes	yes	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SESSION_NAME	yes	yes	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SESSION_SECRET	yes	yes	present	PER_REPO_PER_ENV	HIGH	Auth/session signing secret	Use strong separate values per app/env. If code expects JWT_SECRET but Replit has SFS_JWT_SECRET, app can break.
.	SFS_	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SFS_AUTH_INTEGRATION	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SFS_BACKEND_URL	yes	yes	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SFS_JWT_SECRET	yes	yes	missing	PER_REPO_PER_ENV	HIGH	Auth/session signing secret	Use strong separate values per app/env. If code expects JWT_SECRET but Replit has SFS_JWT_SECRET, app can break.
.	SFS_PAT	yes	no	present	SHARED_CONTROL_SECRET	HIGH	GitHub token for SFS automation/repo sync	Use in GitHub org/repo secrets or selected control Replits only. Rotate if leaked.
.	SFS_SECRETS_AUDIT	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SFS_SYNC_URL	yes	no	present	SHARED_CONFIG_OPTIONAL	MEDIUM	Central SFS sync endpoint	Only repos that call the sync service need this.
.	SFS_THEME	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SFS_WEBHOOK_SECRET	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SHARED_CONTROL_SECRET	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SIDEBAR_COOKIE_MAX_AGE	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	SIDEBAR_KEYBOARD_SHORTCUT	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	STRIPE	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	STRIPE_PRICE_	yes	no	missing	SHARED_CONFIG_IF_SAME_PRODUCTS	LOW	Stripe price IDs	Can be shared if all repos use same Stripe products.
.	STRIPE_PRICE_ENTERPRISE	yes	no	present	SHARED_CONFIG_IF_SAME_PRODUCTS	LOW	Stripe price IDs	Can be shared if all repos use same Stripe products.
.	STRIPE_PRICE_PRO	yes	no	present	SHARED_CONFIG_IF_SAME_PRODUCTS	LOW	Stripe price IDs	Can be shared if all repos use same Stripe products.
.	STRIPE_PRICE_STARTER	yes	no	present	SHARED_CONFIG_IF_SAME_PRODUCTS	LOW	Stripe price IDs	Can be shared if all repos use same Stripe products.
.	STRIPE_PUBLISHABLE_KEY	yes	no	missing	PUBLIC_CONFIG	LOW	Stripe publishable frontend key	Allowed in frontend, but separate test/live.
.	STRIPE_PUBLISHABLE_TESTKEY	yes	no	present	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	STRIPE_SECRET_KEY	yes	no	present	PER_STRIPE_ENV	HIGH	Stripe private API key	Server only. Never expose in frontend.
.	STRIPE_WEBHOOK_SECRET	yes	no	present	PER_WEBHOOK_ENDPOINT	HIGH	Stripe webhook signing secret	Separate per webhook endpoint/domain.
.	TOKEN	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	TOKEN_ENCRYPTION_KEY	yes	no	missing	PER_REPO_PER_ENV	HIGH	Token/data encryption key	Separate per app/env. Rotating can break old encrypted tokens.
.	TOKENS	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	TWITTER	yes	no	missing	UNKNOWN_REVIEW	MEDIUM	Unknown env var	Review manually and decide shared vs per-repo.
.	TWITTER_CALLBACK_URL	yes	no	missing	PER_OAUTH_APP	HIGH	X/Twitter OAuth config	Per OAuth app/callback. Client secret is server only.
.	TWITTER_CLIENT_ID	yes	no	missing	PER_OAUTH_APP	HIGH	X/Twitter OAuth config	Per OAuth app/callback. Client secret is server only.
.	TWITTER_CLIENT_SECRET	yes	no	missing	PER_OAUTH_APP	HIGH	X/Twitter OAuth config	Per OAuth app/callback. Client secret is server only.
.	VITE_	yes	no	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	VITE_API_BASE	yes	yes	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	VITE_API_URL	yes	no	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	VITE_DEPRECATION_TRACE	yes	no	missing	PUBLIC_FRONTEND_ENV	MEDIUM	Frontend-exposed variable	Never put real secrets here.
.	VITE_STRIPE_PUBLISHABLE_KEY	yes	no	missing	PUBLIC_CONFIG	LOW	Stripe publishable frontend key	Allowed in frontend, but separate test/live.
.	X_CALLBACK_URL	yes	no	missing	PER_OAUTH_APP	HIGH	X/Twitter OAuth config	Per OAuth app/callback. Client secret is server only.
.	X_CLIENT_ID	yes	no	missing	PER_OAUTH_APP	HIGH	X/Twitter OAuth config	Per OAuth app/callback. Client secret is server only.
.	X_CLIENT_SECRET	yes	no	missing	PER_OAUTH_APP	HIGH	X/Twitter OAuth config	Per OAuth app/callback. Client secret is server only.
